name,time,contextswitch_,cpu_0_cpu_idle,cpu_0_cpu_interrupt,cpu_0_cpu_nice,cpu_0_cpu_softirq,cpu_0_cpu_steal,cpu_0_cpu_system,cpu_0_cpu_user,cpu_0_cpu_wait,cpu_1_cpu_idle,cpu_1_cpu_interrupt,cpu_1_cpu_nice,cpu_1_cpu_softirq,cpu_1_cpu_steal,cpu_1_cpu_system,cpu_1_cpu_user,cpu_1_cpu_wait,cpu_2_cpu_idle,cpu_2_cpu_interrupt,cpu_2_cpu_nice,cpu_2_cpu_softirq,cpu_2_cpu_steal,cpu_2_cpu_system,cpu_2_cpu_user,cpu_2_cpu_wait,cpu_3_cpu_idle,cpu_3_cpu_interrupt,cpu_3_cpu_nice,cpu_3_cpu_softirq,cpu_3_cpu_steal,cpu_3_cpu_system,cpu_3_cpu_user,cpu_3_cpu_wait,cpusleep_,hugepages_mm-1048576Kb_free,hugepages_mm-1048576Kb_used,hugepages_mm-2048Kb_free,hugepages_mm-2048Kb_used,hugepages_node0-1048576Kb_free,hugepages_node0-1048576Kb_used,hugepages_node0-2048Kb_free,hugepages_node0-2048Kb_used,interface_ens3_if_dropped_rx,interface_ens3_if_errors_rx,interface_ens3_if_octets_tx,interface_ens3_if_packets_tx,interface_ens4_if_dropped_tx,interface_ens4_if_errors_rx,interface_ens4_if_octets_rx,interface_ens4_if_packets_rx,interface_lo_if_dropped_rx,interface_lo_if_errors_rx,interface_lo_if_octets_tx,interface_lo_if_packets_rx,interface_virbr0-nic_if_dropped_tx,interface_virbr0-nic_if_errors_rx,interface_virbr0-nic_if_octets_rx,interface_virbr0-nic_if_packets_rx,interface_virbr0_if_dropped_rx,interface_virbr0_if_errors_rx,interface_virbr0_if_octets_rx,interface_virbr0_if_packets_tx,ipc_msg_headers,ipc_msg_queues,ipc_msg_space,ipc_sem_arrays,ipc_sem_total,ipc_shm_,ipc_shm_rss,ipc_shm_swapped,ipc_shm_total,irq_0,irq_1,irq_11,irq_12,irq_14,irq_15,irq_24,irq_25,irq_26,irq_27,irq_28,irq_29,irq_30,irq_31,irq_4,irq_6,irq_8,irq_9,irq_CAL,irq_DFR,irq_ERR,irq_IWI,irq_LOC,irq_MCE,irq_MCP,irq_MIS,irq_NMI,irq_PIN,irq_PIW,irq_PMI,irq_RES,irq_RTR,irq_SPU,irq_THR,irq_TLB,irq_TRM,memory_buffered,memory_cached,memory_free,memory_slab_recl,memory_slab_unrecl,memory_used,numa_node0_interleave_hit,numa_node0_local_node,numa_node0_numa_foreign,numa_node0_numa_hit,numa_node0_numa_miss,numa_node0_other_node,processes_,processes_blocked,processes_paging,processes_running,processes_sleeping,processes_stopped,processes_zombies,swap_cached,swap_free,swap_in,swap_out,swap_used
shorewell,1564385200000000000,474954870,649723390,0,10440,20688,136570,2291345,1785738,838228,646908423,0,12054,20819,180163,2489321,1784102,2997483,644922508,0,11013,145606,254963,2357074,1739994,3351925,645327204,0,14949,251770,266831,2115940,1730664,1407312,0,0,0,0,0,0,0,0,0,0,0,198232222330,2674573235,0,0,180215818027,2668470884,0,0,5813766210,6039395,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654918,15,0,0,0,123108904,0,2290408166,43287,0,461694099,130225,1380,3,0,0,129899923,0,0,0,275352362,0,87328,0,0,0,0,0,85420620,0,0,0,53957951,0,163778560,1703227392,1896968192,277901312,30707712,70451200,4544,18782961246,0,18782961246,0,0,939113,0,0,0,133,0,0,0,0,0,0,0
shorewell,1564385190000000000,474954098,649722394,0,10440,20688,136569,2291344,1785737,838226,646907426,0,12054,20819,180162,2489320,1784102,2997483,644921509,0,11013,145606,254963,2357073,1739994,3351925,645326206,0,14949,251770,266831,2115938,1730663,1407312,0,0,0,0,0,0,0,0,0,0,0,198232192282,2674573225,0,0,180215818027,2668470884,0,0,5813756572,6039385,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654917,15,0,0,0,123108784,0,2290408151,43287,0,461694099,130225,1380,3,0,0,129899726,0,0,0,275351955,0,87328,0,0,0,0,0,85420446,0,0,0,53957872,0,163778560,1703227392,1897132032,277901312,30707712,70287360,4544,18782960929,0,18782960929,0,0,939112,0,0,0,133,0,0,0,0,0,0,0
shorewell,1564385180000000000,474953400,649721415,0,10440,20687,136568,2291344,1785737,838206,646906429,0,12054,20819,180162,2489319,1784101,2997483,644920510,0,11013,145606,254963,2357073,1739994,3351925,645325208,0,14949,251770,266831,2115938,1730662,1407312,0,0,0,0,0,0,0,0,0,0,0,198232166443,2674573214,0,0,180215818027,2668470884,0,0,5813746958,6039375,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654916,15,0,0,0,123108612,0,2290408137,43287,0,461694099,130225,1380,3,0,0,129899476,0,0,0,275351592,0,87328,0,0,0,0,0,85420308,0,0,0,53957796,0,163778560,1703227392,1897099264,277901312,30707712,70320128,4544,18782960648,0,18782960648,0,0,939111,0,0,0,133,0,0,0,0,0,0,0
shorewell,1564385170000000000,474952753,649720416,0,10440,20687,136568,2291344,1785737,838206,646905431,0,12054,20819,180160,2489318,1784101,2997483,644919512,0,11013,145606,254962,2357071,1739994,3351925,645324209,0,14949,251770,266831,2115938,1730661,1407312,0,0,0,0,0,0,0,0,0,0,0,198232136668,2674573205,0,0,180215818027,2668470884,0,0,5813737329,6039365,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654915,15,0,0,0,123108556,0,2290408123,43287,0,461694099,130225,1380,3,0,0,129899356,0,0,0,275351208,0,87328,0,0,0,0,0,85420167,0,0,0,53957726,0,163778560,1703219200,1897099264,277901312,30707712,70328320,4544,18782960372,0,18782960372,0,0,939110,0,0,0,133,0,0,0,0,0,0,0
shorewell,1564385160000000000,474951999,649719418,0,10440,20687,136567,2291343,1785737,838206,646904435,0,12054,20819,180159,2489318,1784100,2997482,644918514,0,11013,145606,254962,2357070,1739994,3351925,645323211,0,14949,251770,266830,2115937,1730660,1407312,0,0,0,0,0,0,0,0,0,0,0,198232109869,2674573195,0,0,180215818027,2668470884,0,0,5813729617,6039357,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654914,15,0,0,0,123108409,0,2290408109,43287,0,461694099,130225,1380,3,0,0,129899165,0,0,0,275350832,0,87328,0,0,0,0,0,85420025,0,0,0,53957680,0,163778560,1703219200,1897033728,277901312,30740480,70361088,4544,18782960064,0,18782960064,0,0,939109,0,0,0,133,0,0,0,0,0,0,0
shorewell,1564385150000000000,474951332,649718440,0,10440,20687,136566,2291342,1785737,838186,646903439,0,12054,20819,180157,2489317,1784100,2997482,644917514,0,11013,145606,254962,2357070,1739993,3351925,645322214,0,14949,251770,266830,2115934,1730660,1407312,0,0,0,0,0,0,0,0,0,0,0,198232078535,2674573185,0,0,180215818027,2668470884,0,0,5813719943,6039347,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654913,15,0,0,0,123108097,0,2290408095,43287,0,461694099,130225,1380,3,0,0,129898773,0,0,0,275350471,0,87328,0,0,0,0,0,85419931,0,0,0,53957585,0,163778560,1703219200,1897033728,277901312,30707712,70393856,4544,18782959785,0,18782959785,0,0,939108,0,0,0,133,0,0,0,0,0,0,0
shorewell,1564385140000000000,474950624,649717452,0,10440,20687,136565,2291342,1785736,838176,646902442,0,12054,20819,180156,2489315,1784100,2997482,644916515,0,11013,145606,254962,2357070,1739993,3351925,645321216,0,14949,251770,266830,2115934,1730659,1407312,0,0,0,0,0,0,0,0,0,0,0,198232053202,2674573177,0,0,180215818027,2668470884,0,0,5813712253,6039339,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654912,15,0,0,0,123107717,0,2290408083,43287,0,461694099,130225,1380,3,0,0,129898399,0,0,0,275350136,0,87328,0,0,0,0,0,85419808,0,0,0,53957549,0,163778560,1703219200,1897033728,277901312,30707712,70393856,4544,18782959506,0,18782959506,0,0,939107,0,0,0,133,0,0,0,0,0,0,0
shorewell,1564385130000000000,474950013,649716455,0,10440,20687,136565,2291340,1785736,838176,646901446,0,12054,20819,180156,2489314,1784100,2997482,644915515,0,11013,145606,254962,2357070,1739993,3351925,645320217,0,14949,251770,266830,2115934,1730659,1407312,0,0,0,0,0,0,0,0,0,0,0,198232023334,2674573168,0,0,180215818027,2668470884,0,0,5813702643,6039329,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654911,15,0,0,0,123107644,0,2290408069,43287,0,461694099,130225,1380,3,0,0,129898257,0,0,0,275349799,0,87328,0,0,0,0,0,85419685,0,0,0,53957480,0,163778560,1703219200,1897000960,277901312,30707712,70426624,4544,18782959201,0,18782959201,0,0,939106,0,0,0,133,0,0,0,0,0,0,0
shorewell,1564385120000000000,474949477,649715458,0,10440,20687,136564,2291338,1785736,838176,646900448,0,12054,20819,180155,2489313,1784100,2997482,644914516,0,11013,145606,254962,2357070,1739992,3351925,645319218,0,14949,251770,266829,2115934,1730659,1407311,0,0,0,0,0,0,0,0,0,0,0,198231997542,2674573159,0,0,180215818027,2668470884,0,0,5813692990,6039319,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654910,15,0,0,0,123107578,0,2290408056,43287,0,461694099,130225,1380,3,0,0,129898103,0,0,0,275349446,0,87328,0,0,0,0,0,85419593,0,0,0,53957391,0,163778560,1703219200,1896935424,277901312,30773248,70426624,4544,18782958927,0,18782958927,0,0,939105,0,0,1,132,0,0,0,0,0,0,0
shorewell,1564385110000000000,474948799,649714462,0,10440,20687,136563,2291337,1785736,838173,646899451,0,12054,20819,180155,2489312,1784099,2997482,644913517,0,11013,145606,254962,2357070,1739992,3351925,645318220,0,14949,251770,266829,2115934,1730658,1407311,0,0,0,0,0,0,0,0,0,0,0,198231967619,2674573150,0,0,180215818027,2668470884,0,0,5813683351,6039309,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654909,15,0,0,0,123107448,0,2290408042,43287,0,461694099,130225,1380,3,0,0,129897890,0,0,0,275349101,0,87328,0,0,0,0,0,85419470,0,0,0,53957307,0,163778560,1703219200,1896968192,277901312,30707712,70459392,4544,18782958647,0,18782958647,0,0,939104,0,0,1,132,0,0,0,0,0,0,0
